Customer ,Type,Branding,Status,"Number of 
Equipments",Number of doors
107121,Cooler,Soft Drinks,placed,1,"1,5"
111417,Cooler,Soft Drinks,placed,1,"1,5"
101016,Cooler,Water,placed,2,2
107248,Cooler,Soft Drinks,placed,1,2
107248,Cooler,Energy,placed,1,"0,7"
106611,Cooler,Soft Drinks,placed,1,1
101374,Cooler,Energy,placed,2,1
108790,Cooler,Soft Drinks,placed,1,2
108790,Cooler,Juice,placed,1,1
108052,Cooler,Water,placed,3,3
108052,Cooler,Soft Drinks,placed,4,5
108052,Dispenser,Water,placed,2,0
112071,Cooler,Soft Drinks,placed,1,1
106441,Cooler,Soft Drinks,placed,1,1
100528,Cooler,Water,placed,1,"1,5"
100528,Cooler,Soft Drinks,placed,1,"1,5"
108657,Cooler,Water,placed,1,1
100508,Cooler,Soft Drinks,placed,2,"3,5"
111799,Cooler,Soft Drinks,placed,1,2
108907,Cooler,Soft Drinks,placed,1,1
108356,Cooler,Water,placed,1,1
105116,Cooler,Soft Drinks,placed,2,"1,7"
110949,Cooler,Water,placed,4,"4,5"
110949,Cooler,Soft Drinks,placed,6,"8,3"
110949,Cooler,Juice,placed,2,3
110949,Fountain,Soft Drinks,placed,4,0
111190,Cooler,Water,placed,2,2
111190,Cooler,Soft Drinks,placed,6,"5,6"
111190,Dispenser,Water,placed,1,0
100496,Cooler,Soft Drinks,placed,2,2
108656,Cooler,Soft Drinks,placed,1,1
108656,Cooler,Energy,placed,1,"0,3"
104083,Cooler,Water,placed,2,"2,5"
104083,Cooler,Soft Drinks,placed,2,3
108044,Cooler,Soft Drinks,placed,1,"1,5"
100529,Cooler,Water,placed,2,2
100529,Cooler,Energy,placed,1,"0,7"
100529,Cooler,Energy,placed,1,"0,7"
108652,Cooler,Water,placed,3,3
108652,Cooler,Soft Drinks,placed,2,"1,7"
108652,Cooler,Juice,placed,1,1
108882,Cooler,Soft Drinks,placed,4,4
109732,Cooler,Soft Drinks,placed,1,1
109125,Cooler,Soft Drinks,placed,3,"2,7"
109125,Dispenser,Water,placed,1,0
106825,Cooler,Soft Drinks,placed,1,1
109126,Cooler,Soft Drinks,placed,1,1
107640,Cooler,Water,placed,1,1
107640,Cooler,Soft Drinks,placed,1,1
107640,Cooler,Juice,placed,1,1
107924,Cooler,Water,placed,1,1
107924,Cooler,Soft Drinks,placed,1,"0,7"
107924,Cooler,Energy,placed,1,1
102305,Cooler,Soft Drinks,placed,1,1
108457,Cooler,Soft Drinks,placed,1,2
108457,Cooler,Juice,placed,1,2
109103,Cooler,Soft Drinks,placed,1,1
109103,Cooler,Juice,placed,1,1
108663,Cooler,Water,placed,1,1
108663,Cooler,Juice,placed,1,1
108793,Cooler,Juice,placed,1,2
108802,Cooler,Juice,placed,1,1
108805,Cooler,Water,placed,1,1
108805,Cooler,Juice,placed,1,2
106190,Cooler,Water,placed,1,1
105132,Cooler,Soft Drinks,placed,1,1
105132,Cooler,Juice,placed,1,"0,3"
109497,Cooler,Soft Drinks,placed,1,2
103682,Cooler,Soft Drinks,placed,1,1
109104,Cooler,Soft Drinks,placed,1,"0,7"
109104,Cooler,Juice,placed,1,2
109104,Dispenser,Water,placed,1,0
109789,Cooler,Soft Drinks,placed,1,1
109129,Cooler,Soft Drinks,placed,1,"0,7"
109129,Cooler,Juice,placed,1,1
110954,Cooler,Soft Drinks,placed,4,"3,4"
110954,Fountain,Soft Drinks,placed,3,0
110954,Dispenser,Water,placed,1,0
109755,Cooler,Juice,placed,1,1
107840,Cooler,Soft Drinks,placed,1,1
108355,Cooler,Soft Drinks,placed,1,1
108355,Cooler,Juice,placed,1,1
109197,Cooler,Water,placed,1,1
109197,Cooler,Soft Drinks,placed,1,1
109192,Cooler,Soft Drinks,placed,2,3
108382,Cooler,Soft Drinks,placed,3,"2,3"
108382,Cooler,Juice,placed,1,2
108382,Dispenser,Water,placed,1,0
108796,Cooler,Water,placed,4,4
108796,Cooler,Soft Drinks,placed,3,4
108796,Cooler,Juice,placed,2,3
108796,Cooler,Energy,placed,1,"0,3"
108796,Dispenser,Water,placed,2,0
108354,Cooler,Water,placed,1,1
108354,Cooler,Soft Drinks,placed,2,3
108354,Cooler,Juice,placed,1,1
101363,Cooler,Water,placed,2,2
101363,Cooler,Juice,placed,1,1
108658,Cooler,Soft Drinks,placed,1,"0,3"
109204,Cooler,Juice,placed,1,1
109203,Cooler,Soft Drinks,placed,1,1
106572,Cooler,Soft Drinks,placed,1,1
108797,Cooler,Water,placed,1,1
108797,Cooler,Soft Drinks,placed,1,"1,5"
108797,Cooler,Juice,placed,2,"1,3"
108797,Dispenser,Water,placed,2,0
109202,Cooler,Juice,placed,1,1
107641,Cooler,Juice,placed,1,1
109201,Cooler,Water,placed,1,1
108798,Cooler,Soft Drinks,placed,1,1
108660,Cooler,Water,placed,1,1
108660,Cooler,Juice,placed,1,1
108660,Cooler,Energy,placed,1,"0,3"
105111,Cooler,Soft Drinks,placed,1,2
105196,Cooler,Water,placed,1,1
105196,Cooler,Soft Drinks,placed,1,"0,7"
108868,Cooler,Water,placed,1,1
107098,Cooler,Soft Drinks,placed,1,1
107239,Cooler,Soft Drinks,placed,2,3
112004,Cooler,Water,placed,1,"1,5"
112004,Cooler,Soft Drinks,placed,1,"1,5"
112004,Cooler,Energy,placed,1,"0,7"
106376,Cooler,Soft Drinks,placed,1,1
106376,Cooler,Energy,placed,1,"0,3"
108789,Cooler,Water,placed,1,1
108789,Cooler,Soft Drinks,placed,1,1
110960,Cooler,Water,placed,3,"3,5"
110960,Cooler,Soft Drinks,placed,5,"5,8"
110960,Fountain,Soft Drinks,placed,4,0
108806,Cooler,Water,placed,1,1
108661,Cooler,Soft Drinks,placed,1,1
109190,Cooler,Soft Drinks,placed,2,3
105554,Cooler,Soft Drinks,placed,1,1
108353,Cooler,Water,placed,1,"1,5"
109083,Cooler,Juice,placed,1,1
108801,Cooler,Soft Drinks,placed,1,1
108801,Dispenser,Water,placed,2,0
105531,Cooler,Water,placed,1,1
109074,Cooler,Soft Drinks,placed,1,"1,5"
108357,Cooler,Water,placed,1,1
108357,Cooler,Soft Drinks,placed,1,"1,5"
105212,Cooler,Soft Drinks,placed,1,2
100926,Cooler,Water,placed,1,1
100926,Cooler,Soft Drinks,placed,1,1
108563,Cooler,Soft Drinks,placed,1,1
108045,Cooler,Water,placed,1,1
108045,Cooler,Soft Drinks,placed,2,2
108841,Cooler,Juice,placed,1,1
105308,Cooler,Soft Drinks,placed,1,1
102296,Cooler,Water,placed,1,"1,5"
102296,Cooler,Soft Drinks,placed,2,3
106878,Cooler,Soft Drinks,placed,2,"1,7"
107111,Cooler,Soft Drinks,placed,1,"1,5"
106841,Cooler,Water,placed,1,1
108048,Cooler,Juice,placed,1,"0,3"
109206,Cooler,Soft Drinks,placed,1,"0,3"
109206,Cooler,Juice,placed,1,"0,3"
101263,Cooler,Water,placed,1,"1,5"
