Calendar day,Customer,BGN,CS
2.1.2025,103001,"58,36",21
2.1.2025,102411,"5,56",2
2.1.2025,102771,"16,68",6
2.1.2025,102891,"19,45",7
2.1.2025,106271,"66,7","23,999"
2.1.2025,102446,"5,56",2
2.1.2025,103145,"109,32","39,333"
2.1.2025,102896,"45,58","16,4"
2.1.2025,100694,"26,4","9,5"
2.1.2025,104728,"2,78",1
2.1.2025,104747,"2,78",1
2.1.2025,106732,"8,34",3
2.1.2025,100708,"55,59",20
2.1.2025,106737,"8,34",3
2.1.2025,112021,"2,78",1
2.1.2025,102816,"16,68",6
2.1.2025,104645,"2,78",1
2.1.2025,102930,"8,34",3
2.1.2025,102916,"11,58","4,167"
2.1.2025,100683,"13,9",5
2.1.2025,112059,"5,56",2
2.1.2025,106270,"16,68",6
2.1.2025,106266,"16,68",6
2.1.2025,106735,"0,46","0,167"
2.1.2025,101040,"50,03",18
2.1.2025,102821,"34,74","12,5"
2.1.2025,102902,"13,9",5
2.1.2025,104427,"5,56",2
2.1.2025,102823,"2,78",1
2.1.2025,102874,"41,69",15
2.1.2025,102944,"72,26",26
2.1.2025,100289,"22,23",8
2.1.2025,100704,"6,02","2,167"
2.1.2025,102960,"5,56",2
2.1.2025,106264,"30,57",11
2.1.2025,104643,"9,26","3,333"
2.1.2025,107216,"5,56",2
2.1.2025,102453,"19,45",7
2.1.2025,101222,"13,9",5
2.1.2025,102708,"13,9",5
2.1.2025,108061,"25,47","9,166"
2.1.2025,109295,"16,68",6
2.1.2025,104814,"13,9",5
2.1.2025,105015,"16,68",6
2.1.2025,103148,"11,12",4
2.1.2025,105069,"11,12",4
2.1.2025,110817,"8,34",3
2.1.2025,107360,"5,56",2
2.1.2025,101839,"13,9",5
2.1.2025,100394,"11,12",4
2.1.2025,107716,"8,34",3
2.1.2025,107579,"22,23",8
2.1.2025,111704,"5,56",2
2.1.2025,111351,"33,35",12
2.1.2025,111088,"19,45",7
2.1.2025,111519,"5,56",2
2.1.2025,110861,"16,68",6
2.1.2025,109961,"1,39","0,5"
2.1.2025,104929,"5,56",2
2.1.2025,105357,"16,68",6
2.1.2025,109935,"16,68",6
2.1.2025,111550,"11,12",4
2.1.2025,110460,"41,69",15
2.1.2025,111752,"38,91",14
