Customer,Customer Name,Region,City,Trade Channel,Segment,Seasonal,Тype
109336,ГОЛЯМОТО ПИЛЕ ЕООД,Бургас,ПРОСЕНИК,Fast-food,Bronze,Not Seasonal,Out of Home
110118,ФИСТ БУРГЕРС ЕООД,Варна,ДЕВНЯ,Fast-food,Bronze,Not Seasonal,Out of Home
110259,МЕКСИКАНСКА ХРАНА ЕООД,Бургас,АХЕЛОЙ,Fast-food,Bronze,Not Seasonal,Out of Home
110270,БЪЛГАРСКА СКАРА ЕООД,Бургас,РАВДА,Fast-food,Bronze,Not Seasonal,Out of Home
110778,Куба бар ЕООД,Бургас,ПОМОРИЕ,Fast-food,Bronze,Not Seasonal,Out of Home
108370,ФЕМИЛИ ФЛОЙД ООД ЕООД,Бургас,БУРГАС,Restaurant,Bronze,Not Seasonal,Out of Home
107354,ГО ГРИЛ ЕООД,Варна,ВАРНА,Restaurant,Bronze,Not Seasonal,Out of Home
106111,ЯМ ЯМ ЕООД,Бургас,СОЗОПОЛ,Fast-food,Bronze,Seasonal,Out of Home
106131,ХАРИ БАР ЕООД,Бургас,СОЗОПОЛ,Fast-food,Bronze,Seasonal,Out of Home
108363,DIVE CAFE ЕООД,Бургас,БУРГАС,Restaurant,Bronze,Not Seasonal,Out of Home
105502,FAST FOOD ПАРАДАЙС ЕООД,Бургас,СРЕДЕЦ,Cafe,Bronze,Not Seasonal,Out of Home
104957,ЛАВАШ ЕООД,Бургас,БЕЛОДОЛ,Cafe,Iron,Not Seasonal,Out of Home
105259,ЗАКУСКИ ЕООД,Бургас,БУРГАС,Cafe,Iron,Not Seasonal,Out of Home
111658,КОФИ ТАЙМ ЕООД,Бургас,СЛЪНЧЕВ БРЯГ,Fast-food,Bronze,Not Seasonal,Out of Home
105261,ПАВИЛИОН ЕООД,Бургас,СЛЪНЧЕВ БРЯГ,Cafe,Iron,Not Seasonal,Out of Home
105195,ЗАКУСКИ ЕООД,Бургас,БУРГАС,Cafe,Bronze,Not Seasonal,Out of Home
110487,ТЕДИ ТЙС ЕООД,Варна,ВАРНА,Fast-food,Bronze,Not Seasonal,Out of Home
106061,МАКДОНАЛДС ЕООД,Варна,ВАРНА,Fast-food,Bronze,Not Seasonal,Out of Home
110433,МАК ДОНАЛДС ЕООД,Бургас,АЙТОС,Fast-food,Iron,Not Seasonal,Out of Home
110005,МАКДОНАЛДС ЕООД,Бургас,БУРГАС,Cafe,Bronze,Seasonal,Out of Home
109811,МАКДОНАЛДС ЕООД,Варна,ВАРНА,Hotels,Silver,Not Seasonal,Out of Home
107351,ХЕСБУРГЕР ЕООД,Варна,ПРОВАДИЯ,Restaurant,Bronze,Not Seasonal,Out of Home
110340,МАКДОНАЛДС ДЕЛФИНИ ЕООД,Бургас,БУРГАС,Fast-food,Silver,Not Seasonal,Out of Home
110360,В.ПЪРЗ ЕООД,Бургас,БУРГАС,Fast-food,Bronze,Not Seasonal,Out of Home
